Size,PhaseName,MetricName,Sequence,MetricValue,Scenario,CaseName,RunIndex,Tool,Iteration
1,Read,Time,1,5749002416,Batch,RouteSensor,1,Neo4j,1
1,Check,Time,2,75589737,Batch,RouteSensor,1,Neo4j,1
2,Read,Time,1,1627788164,Repair,ConnectedSegments,1,Java,1
2,Check,Time,2,118886012,Repair,ConnectedSegments,1,Java,1
2,LHS,Time,3,6535,Repair,ConnectedSegments,1,Java,1
2,RHS,Time,4,1710182,Repair,ConnectedSegments,1,Java,1
2,ReCheck,Time,5,16773058,Repair,ConnectedSegments,1,Java,1
1,Read,Time,1,1505693216,Repair,ConnectedSegments,1,Java,1
1,Check,Time,2,48913611,Repair,ConnectedSegments,1,Java,1
1,LHS,Time,3,7060,Repair,ConnectedSegments,1,Java,1
1,RHS,Time,4,11864819,Repair,ConnectedSegments,1,Java,1
1,ReCheck,Time,5,5217154,Repair,ConnectedSegments,1,Java,1
1,Read,Time,1,5180151589,User,ConnectedSegments,1,Neo4j,1
1,Check,Time,2,3848274530,User,ConnectedSegments,1,Neo4j,1
1,LHS,Time,3,18522774,User,ConnectedSegments,1,Neo4j,1
1,RHS,Time,4,52421236,User,ConnectedSegments,1,Neo4j,1
1,ReCheck,Time,5,1617681835,User,ConnectedSegments,1,Neo4j,1
1,LHS,Time,6,15941542,User,ConnectedSegments,1,Neo4j,2
1,RHS,Time,7,38899267,User,ConnectedSegments,1,Neo4j,2
1,ReCheck,Time,8,1127702716,User,ConnectedSegments,1,Neo4j,2
1,LHS,Time,9,20275860,User,ConnectedSegments,1,Neo4j,3
1,RHS,Time,10,31440778,User,ConnectedSegments,1,Neo4j,3
1,ReCheck,Time,11,361813449,User,ConnectedSegments,1,Neo4j,3
1,LHS,Time,12,13833257,User,ConnectedSegments,1,Neo4j,4
1,RHS,Time,13,16694947,User,ConnectedSegments,1,Neo4j,4
1,ReCheck,Time,14,467381987,User,ConnectedSegments,1,Neo4j,4
1,LHS,Time,15,3151321,User,ConnectedSegments,1,Neo4j,5
1,RHS,Time,16,13337313,User,ConnectedSegments,1,Neo4j,5
1,ReCheck,Time,17,341410745,User,ConnectedSegments,1,Neo4j,5
1,LHS,Time,18,2779726,User,ConnectedSegments,1,Neo4j,6
1,RHS,Time,19,9450418,User,ConnectedSegments,1,Neo4j,6
1,ReCheck,Time,20,175767268,User,ConnectedSegments,1,Neo4j,6
1,LHS,Time,21,3019668,User,ConnectedSegments,1,Neo4j,7
1,RHS,Time,22,10364009,User,ConnectedSegments,1,Neo4j,7
1,ReCheck,Time,23,1372644723,User,ConnectedSegments,1,Neo4j,7
1,LHS,Time,24,2979103,User,ConnectedSegments,1,Neo4j,8
1,RHS,Time,25,20063274,User,ConnectedSegments,1,Neo4j,8
1,ReCheck,Time,26,168220586,User,ConnectedSegments,1,Neo4j,8
1,LHS,Time,27,2800154,User,ConnectedSegments,1,Neo4j,9
1,RHS,Time,28,11325090,User,ConnectedSegments,1,Neo4j,9
1,ReCheck,Time,29,160373838,User,ConnectedSegments,1,Neo4j,9
1,LHS,Time,30,2439276,User,ConnectedSegments,1,Neo4j,10
1,RHS,Time,31,9505547,User,ConnectedSegments,1,Neo4j,10
1,ReCheck,Time,32,327308822,User,ConnectedSegments,1,Neo4j,10
1,Read,Time,1,1412857249,User,ConnectedSegments,1,Java,1
1,Check,Time,2,24019023,User,ConnectedSegments,1,Java,1
1,LHS,Time,3,5777059,User,ConnectedSegments,1,Java,1
1,RHS,Time,4,503238,User,ConnectedSegments,1,Java,1
1,ReCheck,Time,5,30092713,User,ConnectedSegments,1,Java,1
1,LHS,Time,6,2964726,User,ConnectedSegments,1,Java,2
1,RHS,Time,7,500204,User,ConnectedSegments,1,Java,2
1,ReCheck,Time,8,3988445,User,ConnectedSegments,1,Java,2
1,LHS,Time,9,13299753,User,ConnectedSegments,1,Java,3
1,RHS,Time,10,304430,User,ConnectedSegments,1,Java,3
1,ReCheck,Time,11,2831208,User,ConnectedSegments,1,Java,3
1,LHS,Time,12,8753536,User,ConnectedSegments,1,Java,4
1,RHS,Time,13,282602,User,ConnectedSegments,1,Java,4
1,ReCheck,Time,14,2926121,User,ConnectedSegments,1,Java,4
1,LHS,Time,15,2432443,User,ConnectedSegments,1,Java,5
1,RHS,Time,16,413453,User,ConnectedSegments,1,Java,5
1,ReCheck,Time,17,2968560,User,ConnectedSegments,1,Java,5
1,LHS,Time,18,3712861,User,ConnectedSegments,1,Java,6
1,RHS,Time,19,471513,User,ConnectedSegments,1,Java,6
1,ReCheck,Time,20,3251475,User,ConnectedSegments,1,Java,6
1,LHS,Time,21,3016331,User,ConnectedSegments,1,Java,7
1,RHS,Time,22,398782,User,ConnectedSegments,1,Java,7
1,ReCheck,Time,23,2866841,User,ConnectedSegments,1,Java,7
1,LHS,Time,24,3019241,User,ConnectedSegments,1,Java,8
1,RHS,Time,25,412550,User,ConnectedSegments,1,Java,8
1,ReCheck,Time,26,2989970,User,ConnectedSegments,1,Java,8
1,LHS,Time,27,2907804,User,ConnectedSegments,1,Java,9
1,RHS,Time,28,567052,User,ConnectedSegments,1,Java,9
1,ReCheck,Time,29,4109663,User,ConnectedSegments,1,Java,9
1,LHS,Time,30,1770365,User,ConnectedSegments,1,Java,10
1,RHS,Time,31,510095,User,ConnectedSegments,1,Java,10
1,ReCheck,Time,32,4015298,User,ConnectedSegments,1,Java,10
1,Read,Time,1,1009401646,User,ConnectedSegments,1,Sesame,1
1,Check,Time,2,743516108,User,ConnectedSegments,1,Sesame,1
1,LHS,Time,3,7683594,User,ConnectedSegments,1,Sesame,1
1,RHS,Time,4,14444038,User,ConnectedSegments,1,Sesame,1
1,ReCheck,Time,5,270204440,User,ConnectedSegments,1,Sesame,1
1,LHS,Time,6,9236685,User,ConnectedSegments,1,Sesame,2
1,RHS,Time,7,5881748,User,ConnectedSegments,1,Sesame,2
1,ReCheck,Time,8,230885709,User,ConnectedSegments,1,Sesame,2
1,LHS,Time,9,7884376,User,ConnectedSegments,1,Sesame,3
1,RHS,Time,10,2187262,User,ConnectedSegments,1,Sesame,3
1,ReCheck,Time,11,202529272,User,ConnectedSegments,1,Sesame,3
1,LHS,Time,12,2122828,User,ConnectedSegments,1,Sesame,4
1,RHS,Time,13,6551356,User,ConnectedSegments,1,Sesame,4
